lat,lon,univ_research_count_5000m
9.6844884,80.0226927,9
9.8157323,-83.6943809,0
9.8816162,78.0834328,0
9.9356021,-84.0489628,34
9.9566984,8.8526785,13
9.9837257,76.2740001,6
10.0284344,76.3284714,10
10.0321492,105.7683051,12
10.0441676,76.3271813,9
10.0449079,76.3261437,9
10.0539422,76.6199244,4
10.0728444,78.7795194,6
10.093674,78.7967361,6
10.1787934,76.4313699,1
10.1910284,76.3874109,2
10.2690161,76.4009485,1
10.3045491,11.1744678,3
10.3528744,76.5120396,0
10.3825318,7.8533226,0
10.413076,-75.5380537,17
10.4227456,77.8846076,0
10.5060934,-66.9146008,13
10.6026203,79.7619348,0
10.6033083,14.3281625,2
10.6588234,77.00873,0
10.7242204,106.7311013,8
10.7320052,106.6984654,29
10.7631651,78.7132601,0
10.7633854,78.8150292,7
10.7733495,106.6596319,56
10.7737261,106.7166008,52
10.7753939,106.6996264,69
10.7873692,76.4742172,0
10.8071144,78.6880939,5
10.8184861,79.8408626,0
10.8217671,78.3828654,0
10.8265747,77.0601786,1
10.8358149,76.8785205,0
10.8482445,106.7869449,43
10.8689338,106.7965509,43
10.9156489,79.8069488,2
10.9174272,76.9882592,0
10.9637666,79.3862817,1
10.9814553,106.6672887,3
10.9901791,79.8444169,1
11.0018115,76.9628425,4
11.0191398,-74.8507959,12
11.0246833,77.0028425,2
11.0369574,76.8792694,3
11.0420716,76.8860315,3
11.0525335,106.6670739,1
11.0544141,78.0486074,0
11.0849061,76.997937,0
11.1826156,106.6738179,0
11.2241029,-74.1855966,5
11.2459092,75.7803858,2
11.2590474,75.7840552,2
11.2721791,77.6039999,3
11.3033889,78.118604,0
11.3323723,78.6098639,0
11.3565742,77.9466726,0
11.3846332,78.1492964,0
11.390716,79.7114928,1
11.511793,-72.8706443,3
11.5202071,79.3396356,0
11.5706096,104.8980041,29
11.5713118,37.3289438,1
11.6469616,78.2106958,0
11.6777737,78.1242606,0
11.718745,78.0784441,1
11.8337857,75.9702212,5
11.8395375,13.1536214,1
11.9224524,79.6267103,0
11.9854363,75.381483,2
12.0134296,79.849917,4
12.0160591,8.5065423,5
12.1842561,18.6842092,0
12.1931036,79.0835715,0
12.2484492,109.1843418,10
12.2792737,109.132332,0
12.3051828,76.6553609,4
12.3681873,-1.5270944,18
12.4573462,4.2006114,1
12.5092553,80.1572349,0
12.5576644,75.3907575,0
12.5630825,7.6207063,0
12.5634929,-16.2724609,3
12.7297587,77.7087603,1
12.7521895,80.1961009,0
12.8289678,77.5889693,0
12.8441237,77.6586503,7
12.8630334,79.7372589,1
12.8671138,80.2173685,6
12.8690356,80.2151565,6
12.8734977,80.2198655,6
12.8991541,77.5995033,7
12.9020523,77.631261,6
12.9025783,77.5051451,3
12.9079915,80.1394791,2
12.9117073,80.2277203,4
12.9256549,80.10437,2
12.9287596,77.6287122,6
12.929616,77.6227302,7
12.9337799,77.6051611,8
12.9343108,77.6925122,1
12.936938,77.6950878,1
12.941559,77.5659889,7
12.9437649,77.6931426,1
12.9439343,77.5091805,5
12.9521755,80.1860309,2
12.9528585,79.9877477,0
12.9697498,79.1606601,0
12.9760223,77.7220886,1
12.9767936,77.590082,5
12.9809157,77.7586036,1
12.984887,77.7622799,1
12.9867084,77.730153,1
12.9902344,76.1152288,3
12.9902433,74.8053518,11
12.9920764,80.2296915,7
12.9941561,80.2366826,8
13.0096172,80.2389021,7
13.0110764,74.7921986,11
13.011191,74.7960578,11
13.0136638,80.236502,7
13.0184274,77.5079729,0
13.0184908,77.5079984,0
13.0185282,77.5707232,4
13.018593,77.6535587,4
13.0211806,77.5747766,4
13.0219964,77.7665146,0
13.0222347,77.5671832,3
13.0230205,77.5658551,3
13.0575814,79.2670718,0
13.0592289,80.2336108,2
13.0683654,74.9947146,0
13.0836939,80.270186,3
13.1053707,77.5772403,2
13.1154027,77.6357699,4
13.1199635,80.1142468,1
13.1209646,100.9192182,1
13.1242216,77.6147187,3
13.1284405,77.5877371,2
13.1354037,80.0453129,2
13.1484906,80.1915722,1
13.1678337,77.5583666,2
13.1857117,101.1210777,0
13.2537619,80.0562572,1
13.325036,79.6480611,0
13.3285139,77.1265622,3
13.3289265,77.1207492,3
13.3400771,77.1006208,3
13.3467383,74.7943357,0
13.4842836,39.4554493,4
13.5362462,79.9911259,2
13.555824,78.5014943,0
13.5752242,44.0215268,5
13.6291848,79.4000915,1
13.6316368,79.4231711,1
13.6655162,100.4451962,0
13.6891784,101.0708268,1
13.7139428,100.5132013,28
13.7436686,100.5280504,44
13.7524938,100.4935089,37
13.7544563,121.0531305,5
13.7638056,100.52877,39
13.7640538,100.5677187,24
13.7683629,100.3539567,3
13.7705456,100.5126084,39
13.775426,100.5082666,34
13.7946521,100.3218583,5
13.8190011,100.0401044,3
13.8218432,100.5131602,8
13.8460848,100.5689693,14
13.8682408,100.4821603,2
13.8784212,100.5699587,13
14.0365457,100.5727765,3
14.048667,100.5640405,4
14.0793401,100.5885491,7
14.0803261,100.611434,6
14.2558835,75.8303421,0
14.557001,79.7234781,0
14.5904492,120.9803621,33
14.5905004,120.9780808,33
14.5975748,121.0390999,25
14.6429095,121.0393689,18
14.650376,121.0676426,11
14.6508152,77.6070136,1
14.6510546,121.0486254,15
14.693425,-17.447938,43
14.7433614,79.0610394,0
14.7665219,42.9559993,2
14.8812177,102.0121748,0
15.0570722,102.1885789,0
15.1272915,104.9194652,3
15.3696515,75.1227725,2
15.3707296,75.1332867,2
15.4124119,73.9782194,0
15.4232905,73.9789313,0
15.4243811,73.9791276,0
15.4285932,75.0150177,1
15.4736293,78.4806592,0
15.4862017,74.9385785,2
15.6172896,32.4782607,14
15.6445536,32.4777311,18
15.7750024,78.0571247,3
15.777064,80.329893,0
15.8309251,78.0425373,1
16.0493715,108.1592924,5
16.0547194,76.9003647,0
16.062815,108.2101633,10
16.0632055,-16.4238814,4
16.1587846,74.888862,0
16.2246056,80.5589246,1
16.253533,-61.5351443,5
16.2915189,80.4541588,6
16.3766763,80.5275261,2
16.4423575,80.6250001,3
16.4585419,107.5794853,16
16.4591873,102.8119933,34
16.4818104,81.5329358,0
16.4928035,80.4982427,3
16.5115306,80.6160469,1
16.6779671,74.2515616,2
16.6884963,33.432286,0
16.742714,100.1948931,1
16.8332103,81.5300068,1
16.8763118,96.1197917,18
16.9014852,76.2229508,0
16.9545281,81.2565686,0
16.9734448,42.546317,2
16.9804399,82.2426892,6
17.0892988,54.1472926,3
17.1422232,79.6159717,3
17.2545527,78.30704,0
17.2852127,74.1822147,0
17.32181,78.4113865,18
17.3353068,81.9080481,0
17.360589,78.4740613,32
17.36906,78.4717199,52
17.3806215,78.3830127,9
17.3907234,78.3223899,3
17.3987716,78.5621001,52
17.4092024,78.4677301,96
17.4113238,78.5274316,95
17.4257614,78.7128629,0
17.4375191,78.3854449,54
17.4530357,78.3270312,25
17.5062095,78.5051076,1
17.5204027,78.3665973,6
17.5626348,82.977489,1
17.5684696,78.4362807,1
17.5998832,78.4177016,0
17.6428704,44.5345446,39
17.6935526,83.2921297,6
17.7305037,83.3227516,9
17.7360626,83.3042916,9
17.8472979,-97.8775394,0
17.9217164,83.4266648,0
17.9375095,78.211745,0
17.9820644,79.5970954,0
17.9833537,79.5335163,5
18.0181309,-76.7438441,8
18.0531839,83.4007515,0
18.0792379,-15.9780071,15
18.0884354,42.713291,2
18.1619655,73.3208095,0
18.2138235,-67.142568,6
