key,count2000
"33.9928841,-81.0268676",0.0
"34.0000001,113.9999999",0.0
"34.000754,-81.0352313",2.0
"34.0194704,-118.491227",0.0
"34.021869,-118.2858579",0.0
"34.0276974,-118.2735944",6.0
"34.0284871,-118.4654752",0.0
"34.0504554,-117.2640583",0.0
"34.0536909,-118.242766",0.0
"34.0579419,-117.7452108",0.0
"34.0585941,-118.4179137",0.0
"34.0660684,-118.4420447",0.0
"34.0708777,-118.4468503",6.0
"34.0745997,-118.0534304",0.0
"34.0747444,74.8204443",0.0
"34.0751604,-118.3810936",0.0
"34.0788068,134.558981",0.0
"34.1279634,-117.9730617",0.0
"34.133915,74.8367448",0.0
"34.1370138,-118.1252883",0.0
"34.1394513,-117.9772873",0.0
"34.1481692,-118.7655456",0.0
"34.1483499,-118.0014517",0.0
"34.1705609,-118.8375937",0.0
"34.1876769,135.1819566",0.0
"34.188614,-118.9181107",0.0
"34.190682,72.036798",1.0
"34.2172159,108.937846",0.0
"34.2542885,117.2540119",0.0
"34.261004,108.9423363",0.0
"34.2650036,117.1730539",0.0
"34.2665258,117.1810431",0.0
"34.2672415,108.9486456",0.0
"34.2747143,108.9760541",0.0
"34.2889322,75.0407983",0.0
"34.352329,58.6851719",0.0
"34.3740431,-80.0734005",1.0
"34.3917115,47.1029096",0.0
"34.4168215,115.6507447",0.0
"34.4298059,-119.7235684",0.0
"34.4361078,-119.8285532",0.0
"34.4575979,135.5643131",0.0
"34.461434,135.395733",0.0
"34.4831932,135.4232139",0.0
"34.503917,135.792889",0.0
"34.5111993,135.631448",0.0
"34.528225,135.9526888",0.0
"34.5748048,135.5372991",0.0
"34.5919553,135.5061013",0.0
"34.6196539,112.4477046",0.0
"34.6422939,50.8801184",0.0
"34.6553944,133.9194595",0.0
"34.6704717,-92.376094",0.0
"34.677874,-1.929306",0.0
"34.6937569,135.5014539",0.0
"34.7078204,135.6419202",5.0
"34.729847,-86.5859011",0.0
"34.7339685,136.5154489",0.0
"34.7356937,135.8239876",0.0
"34.7472531,113.619321",4.0
"34.748041,-92.3223096",0.0
"34.7534257,113.6398742",0.0
"34.7811578,135.4699059",0.0
"34.7871191,113.740751",0.0
"34.9513927,-82.2375484",0.0
"34.96586,138.432967",0.0
"34.9726302,48.6563818",0.0
"34.9751974,138.3831697",0.0
"35.0115754,135.7681441",21.0
"35.0137519,135.955226",0.0
"35.0229299,135.777149",0.0
"35.0270467,135.7814382",0.0
"35.053669,137.0129415",0.0
"35.0841034,-106.650985",0.0
"35.0866328,-106.6202094",6.0
"35.0867577,-89.8100858",0.0
"35.0920376,-80.8715969",0.0
"35.1008351,129.0185505",0.0
"35.102623,119.2806451",0.0
"35.1224227,105.4809295",0.0
"35.1291504,-89.8577661",0.0
"35.1342725,129.1052466",0.0
